date;Bangladesh
2020-01-22;0
2020-01-23;0
2020-01-24;0
2020-01-25;0
2020-01-26;0
2020-01-27;0
2020-01-28;0
2020-01-29;0
2020-01-30;0
2020-01-31;0
2020-02-01;0
2020-02-02;0
2020-02-03;0
2020-02-04;0
2020-02-05;0
2020-02-06;0
2020-02-07;0
2020-02-08;0
2020-02-09;0
2020-02-10;0
2020-02-11;0
2020-02-12;0
2020-02-13;0
2020-02-14;0
2020-02-15;0
2020-02-16;0
2020-02-17;0
2020-02-18;0
2020-02-19;0
2020-02-20;0
2020-02-21;0
2020-02-22;0
2020-02-23;0
2020-02-24;0
2020-02-25;0
2020-02-26;0
2020-02-27;0
2020-02-28;0
2020-02-29;0
2020-03-01;0
2020-03-02;0
2020-03-03;0
2020-03-04;0
2020-03-05;0
2020-03-06;0
2020-03-07;0
2020-03-08;3
2020-03-09;3
2020-03-10;3
2020-03-11;3
2020-03-12;3
2020-03-13;3
2020-03-14;3
2020-03-15;5
2020-03-16;8
2020-03-17;10
2020-03-18;14
2020-03-19;17
2020-03-20;20
2020-03-21;25
2020-03-22;27
2020-03-23;33
2020-03-24;39
2020-03-25;39
2020-03-26;44
2020-03-27;48
2020-03-28;48
2020-03-29;48
2020-03-30;49
2020-03-31;51
2020-04-01;54
2020-04-02;56
2020-04-03;61
2020-04-04;70
2020-04-05;88
2020-04-06;123
2020-04-07;164
2020-04-08;218
2020-04-09;330
2020-04-10;424
2020-04-11;482
2020-04-12;621
2020-04-13;803
2020-04-14;1012
2020-04-15;1231
2020-04-16;1572
2020-04-17;1838
2020-04-18;2144
2020-04-19;2456
2020-04-20;2948
2020-04-21;3382
2020-04-22;3772
2020-04-23;4186
2020-04-24;4689
2020-04-25;4998
2020-04-26;5416
2020-04-27;5913
2020-04-28;6462
2020-04-29;7103
2020-04-30;7667
2020-05-01;8238
2020-05-02;8790
2020-05-03;9455
2020-05-04;10143
2020-05-05;10929
2020-05-06;11719
2020-05-07;12425
2020-05-08;13134
2020-05-09;13770
2020-05-10;14657
2020-05-11;15691
2020-05-12;16660
2020-05-13;17822
2020-05-14;18863
2020-05-15;20065
2020-05-16;20995
2020-05-17;22268
2020-05-18;23870
2020-05-19;25121
2020-05-20;26738
2020-05-21;28511
2020-05-22;30205
2020-05-23;32078
2020-05-24;33610
2020-05-25;35585
2020-05-26;36751
2020-05-27;38292
2020-05-28;40321
2020-05-29;42844
2020-05-30;44608
2020-05-31;47153
2020-06-01;49534
2020-06-02;52445
2020-06-03;55140
2020-06-04;57563
2020-06-05;60391
2020-06-06;63026
2020-06-07;65769
2020-06-08;68504
2020-06-09;71675
2020-06-10;74865
2020-06-11;78052
2020-06-12;81523
2020-06-13;84379
2020-06-14;87520
2020-06-15;90619
2020-06-16;94481
2020-06-17;98489
2020-06-18;102292
2020-06-19;105535
2020-06-20;108775
2020-06-21;112306
2020-06-22;115786
2020-06-23;119198
2020-06-24;122660
2020-06-25;126606
2020-06-26;130474
2020-06-27;133978
2020-06-28;137787
2020-06-29;141801
2020-06-30;145483
2020-07-01;149258
2020-07-02;153277
2020-07-03;156391
2020-07-04;159679
2020-07-05;162417
2020-07-06;165618
2020-07-07;168645
2020-07-08;172134
2020-07-09;175494
2020-07-10;178443
2020-07-11;181129
2020-07-12;183795
2020-07-13;186894
2020-07-14;190057
2020-07-15;193590
2020-07-16;196323
2020-07-17;199357
2020-07-18;202066
2020-07-19;204525
2020-07-20;207453
2020-07-21;210510
2020-07-22;213254
2020-07-23;216110
2020-07-24;218658
2020-07-25;221178
2020-07-26;223453
2020-07-27;226225
2020-07-28;229185
2020-07-29;232194
2020-07-30;234889
2020-07-31;237661
2020-08-01;239860
2020-08-02;240746
2020-08-03;242102
2020-08-04;244020
2020-08-05;246674
2020-08-06;249651
2020-08-07;252502
