date;Bangladesh;Bangladesh_filter
2020-01-22;0;0.0
2020-01-23;0;0.0
2020-01-24;0;0.0
2020-01-25;0;0.0
2020-01-26;0;0.0
2020-01-27;0;0.0
2020-01-28;0;0.0
2020-01-29;0;0.0
2020-01-30;0;0.0
2020-01-31;0;0.0
2020-02-01;0;0.0
2020-02-02;0;0.0
2020-02-03;0;0.0
2020-02-04;0;0.0
2020-02-05;0;0.0
2020-02-06;0;0.0
2020-02-07;0;0.0
2020-02-08;0;0.0
2020-02-09;0;0.0
2020-02-10;0;0.0
2020-02-11;0;0.0
2020-02-12;0;0.0
2020-02-13;0;0.0
2020-02-14;0;0.0
2020-02-15;0;0.0
2020-02-16;0;0.0
2020-02-17;0;0.0
2020-02-18;0;0.0
2020-02-19;0;0.0
2020-02-20;0;0.0
2020-02-21;0;0.0
2020-02-22;0;0.0
2020-02-23;0;0.0
2020-02-24;0;0.0
2020-02-25;0;0.0
2020-02-26;0;0.0
2020-02-27;0;0.0
2020-02-28;0;0.0
2020-02-29;0;0.0
2020-03-01;0;0.0
2020-03-02;0;0.0
2020-03-03;0;0.0
2020-03-04;0;0.0
2020-03-05;0;0.0
2020-03-06;0;0.5999999999999999
2020-03-07;0;1.1999999999999997
2020-03-08;3;1.7999999999999996
2020-03-09;3;2.3999999999999995
2020-03-10;3;2.9999999999999996
2020-03-11;3;2.9999999999999996
2020-03-12;3;2.9999999999999996
2020-03-13;3;3.3999999999999995
2020-03-14;3;4.399999999999999
2020-03-15;5;5.799999999999999
2020-03-16;8;7.999999999999998
2020-03-17;10;10.799999999999997
2020-03-18;14;13.799999999999997
2020-03-19;17;17.199999999999996
2020-03-20;20;20.599999999999994
2020-03-21;25;24.4
2020-03-22;27;28.799999999999994
2020-03-23;33;32.599999999999994
2020-03-24;39;36.39999999999999
2020-03-25;39;40.599999999999994
2020-03-26;44;43.599999999999994
2020-03-27;48;45.39999999999999
2020-03-28;48;47.39999999999999
2020-03-29;48;48.8
2020-03-30;49;49.99999999999999
2020-03-31;51;51.599999999999994
2020-04-01;54;54.19999999999999
2020-04-02;56;58.39999999999999
2020-04-03;61;65.79999999999998
2020-04-04;70;79.59999999999998
2020-04-05;88;101.19999999999999
2020-04-06;123;132.59999999999997
2020-04-07;164;184.59999999999997
2020-04-08;218;251.79999999999995
2020-04-09;330;323.5999999999999
2020-04-10;424;414.99999999999994
2020-04-11;482;531.9999999999999
2020-04-12;621;668.3999999999999
2020-04-13;803;829.7999999999998
2020-04-14;1012;1047.7999999999997
2020-04-15;1231;1291.1999999999998
2020-04-16;1572;1559.3999999999996
2020-04-17;1838;1848.1999999999996
2020-04-18;2144;2191.5999999999995
2020-04-19;2456;2553.5999999999995
2020-04-20;2948;2940.3999999999996
2020-04-21;3382;3348.7999999999993
2020-04-22;3772;3795.3999999999996
2020-04-23;4186;4205.399999999999
2020-04-24;4689;4612.199999999999
2020-04-25;4998;5040.4
2020-04-26;5416;5495.5999999999985
2020-04-27;5913;5978.399999999999
2020-04-28;6462;6512.199999999999
2020-04-29;7103;7076.5999999999985
2020-04-30;7667;7651.999999999998
2020-05-01;8238;8250.599999999999
2020-05-02;8790;8858.599999999999
2020-05-03;9455;9510.999999999998
2020-05-04;10143;10207.199999999999
2020-05-05;10929;10934.199999999997
2020-05-06;11719;11669.999999999998
2020-05-07;12425;12395.399999999998
2020-05-08;13134;13140.999999999996
